470	Acinetobacter baumannii	Acinetobacter baumanii
519	Bordetella parapertussis	Bordetella parapertussis
520	Bordetella pertussis	Bordetella pertussis
197	Campylobacter jejuni	Campylobacter jejuni
498019	Candidozyma auris	Candida auris
37124	Chikungunya virus	Chikungunya virus
813	Chlamydia trachomatis	Chlamydia trachomatis
3052518	Orthonairovirus haemorrhagiae	Crimean Congo Haemorrhagic Fever virus
5207	Cryptococcus neoformans	Cryptococcus neoformans
5807	Cryptosporidium parvum	Cryptosporidium parvum
88456	Cyclospora cayetanensis	Cyclospora cayetanensis
11053	dengue virus type 1	Dengue virus type 1
11060	dengue virus type 2	Dengue virus type 2
11069	dengue virus type 3	Dengue virus type 3
11070	dengue virus type 4	Dengue virus type 4
1570291	Ebola virus	Ebola virus
6210	Echinococcus granulosus	Echinococcus granulosus
5759	Entamoeba histolytica	Entamoeba histolytica
1352	Enterococcus faecium	Enterococcus faecium
12059	Enterovirus	Enterovirus
562	Escherichia coli	Escherichia coli
5741	Giardia duodenalis	Giardia duodenalis
727	Haemophilus influenzae	Haemophilus influenzae
3052223	Henipavirus hendraense	Hendra virus
12092	Hepatovirus A	Hepatitis A Virus
10407	Hepatitis B virus	Hepatitis B Virus
291484	Hepatitis E virus	Hepatitis E Virus
1907210	Human adenovirus sp.	Human adenovirus
329641	Human bocavirus	Human bocavirus
11676	Human immunodeficiency virus 1	Human immunodeficiency virus 1
11709	Human immunodeficiency virus 2	Human immunodeficiency virus 2
162145	human metapneumovirus	Human metapneumovirus
10566	Human papillomavirus	Human papilloma virus
12730	Human respirovirus 1	Human parainfluenza virus 1
2560525	Human orthorubulavirus 2	Human parainfluenza virus 2
11216	Human respirovirus 3	Human parainfluenza virus 3
2560526	Human orthorubulavirus 4	Human parainfluenza virus 4
208893	Human respiratory syncytial virus A	Human respiratory syncytial virus A
208895	Human respiratory syncytial virus B	Human respiratory syncytial virus B
11320	Influenza A virus	Influenza A virus
11520	Influenza B virus	Influenza B virus
11072	Japanese encephalitis virus	Japanese encephalitis virus
573	Klebsiella pneumoniae	Klebsiella pneumoniae
3052310	Mammarenavirus lassaense	Lassa virus
11234	Measles morbillivirus	Measles virus
1335626	Middle East respiratory syndrome-related coronavirus	Middle East Respiratory Syndrome Coronavirus
10244	Monkeypox virus	Monkeypox virus
2560602	Mumps orthorubulavirus	Mumps virus
1773	Mycobacterium tuberculosis	Mycobacterium tuberculosis
77643	Mycobacterium tuberculosis complex	Mycobacterium tuberculosis complex
485	Neisseria gonorrhoeae	Neisseria gonorrhoeae
487	Neisseria meningitidis	Neisseria meningitidis
3052225	Henipavirus nipahense	Nipah virus
142786	Norovirus	Norovirus
118655	Oropouche virus	Oropouche virus
3044783	Orthomarburgvirus	Orthomarburgvirus
5833	Plasmodium falciparum	Plasmodium falciparum
12080	Poliovirus 1	Poliovirus 1
12083	Poliovirus 2	Poliovirus 2
12086	Poliovirus 3	Poliovirus 3
287	Pseudomonas aeruginosa	Pseudomonas aeruginosa
147711	Rhinovirus A	Rhinovirus A
147712	Rhinovirus B	Rhinovirus B
11588	Rift Valley fever virus	Rift Valley fever virus
10912	Rotavirus	Rotavirus
11041	Rubella virus	Rubella virus
28901	Salmonella enterica	Salmonella enterica
90370	Salmonella enterica subsp. enterica serovar Typhi	Salmonella Typhi
694013	Gammacoronavirus	Severe Acute Respiratory Coronavirus
621	Shigella boydii	Shigella boydii
622	Shigella dysenteriae	Shigella dysenteriae
623	Shigella flexneri	Shigella flexneri
624	Shigella sonnei	Shigella sonnei
1280	Staphylococcus aureus	Staphylococcus aureus
1313	Streptococcus pneumoniae	Streptococcus pneumoniae
11084	Tick-borne encephalitis virus	Tick-borne encephalitis virus
10335	Human alphaherpesvirus 3	Varicella zoster virus
10255	Variola virus	Variola virus
666	Vibrio cholerae	Vibrio cholerae
11082	West Nile virus	West Nile virus
11089	Yellow fever virus	Yellow fever virus
64320	Zika virus	Zika virus
12239	Pepper mild mottle virus	Pepper mild mottle virus
2955582	Carjivirus communis	Carjivirus communis
817	Bacteroides fragilis	Bacteroides fragilis
357276	Phocaeicola dorei	Phocaeicola dorei
216816	Bifidobacterium longum	Bifidobacterium longum
1579	Lactobacillus acidophilus	Lactobacillus acidophilus
