Pathogen	Strain	Segment	TaxID	Length_nt	RefSeq_Assembly	Accession	NCBI_FTP_Path
Acinetobacter baumannii	ATCC 19606	chromosome	470	3976747	GCF_000737145.1	NC_009085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/145/GCF_000737145.1_ASM73714v1/
Escherichia coli	K-12 MG1655	chromosome	562	4642497	GCF_000005845.2	NC_000913.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/
Klebsiella pneumoniae	HS11286	chromosome	573	5331949	GCF_000240185.1	NC_016845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2/
Mycobacterium tuberculosis	H37Rv	chromosome	1773	4411532	GCF_000195955.2	NC_000962.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2/
Enterococcus faecium	DO	chromosome	1352	2695335	GCF_000174395.2	NC_017960.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/395/GCF_000174395.2_ASM17439v2/
Staphylococcus aureus	N315	chromosome	1280	2814816	GCF_000009645.1	NC_002745.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/645/GCF_000009645.1_ASM964v1/
Salmonella enterica Typhi	CT18	chromosome	90370	4809037	GCF_000195995.1	NC_003198.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/995/GCF_000195995.1_ASM19599v1/
Salmonella enterica Typhimurium	LT2	chromosome	99287	4857432	GCF_000006945.2	NC_003197.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2/
Shigella flexneri	2a 301	chromosome	623	4607203	GCF_000006925.2	NC_004337.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2/
Pseudomonas aeruginosa	PAO1	chromosome	287	6264404	GCF_000006765.1	NC_002516.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1/
Neisseria gonorrhoeae	FA1090	chromosome	485	2153546	GCF_000006845.1	NC_002946.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/845/GCF_000006845.1_ASM684v1/
Streptococcus pyogenes	MGAS5005	chromosome	1314	1833837	GCF_000011865.1	NC_007297.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/865/GCF_000011865.1_ASM1186v1/
Streptococcus pneumoniae	TIGR4	chromosome	1313	2160842	GCF_000006885.1	NC_003028.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/885/GCF_000006885.1_ASM688v1/
Haemophilus influenzae	Rd KW20	chromosome	727	1830138	GCF_000027305.1	NC_000907.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1/
Streptococcus agalactiae	A909	chromosome	1311	2125114	GCF_000007265.1	NC_007432.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/265/GCF_000007265.1_ASM726v1/
Vibrio cholerae	N16961	chromosome_1	666	2961149	GCF_000006745.1	NC_002505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1/
Vibrio cholerae	N16961	chromosome_2	666	1072315	GCF_000006745.1	NC_002506.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1/
SARS-CoV-2	Wuhan-Hu-1	genome	2697049	29903	GCF_009858895.2	NC_045512.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/858/895/GCF_009858895.2_ASM985889v3/
